TipoLuminaria,ColorSuelo,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ReflectanciaSuelo,IluminanciaSuperior
Philips RetroFit BGS981(Experimental),marrón claro,80.0,4000.0,3060.0,709.0,627.0,48.0,75.3
Philips RetroFit BGS981(Experimental),marrón oscuro,80.0,4000.0,3060.0,709.0,627.0,12.0,30.19
Philips RetroFit BGS981(Experimental),negro,80.0,4000.0,3060.0,709.0,627.0,4.0,18.15
Philips RetroFit BGS981(Experimental),gris oscuro,80.0,4000.0,3060.0,709.0,627.0,20.0,36.14
Philips RetroFit BGS981(Experimental),gris claro,80.0,4000.0,3060.0,709.0,627.0,42.0,63.63
Philips RetroFit BGS981(Experimental),blanco,80.0,4000.0,3060.0,709.0,627.0,66.0,114.6
Philips RetroFit BGS981(Experimental),morado,80.0,4000.0,3060.0,709.0,627.0,4.0,27.14
Philips RetroFit BGS981(Experimental),rojo,80.0,4000.0,3060.0,709.0,627.0,12.0,34.66
Philips RetroFit BGS981(Experimental),verde claro,80.0,4000.0,3060.0,709.0,627.0,54.0,81.21
Philips RetroFit BGS981(Experimental),verde ,80.0,4000.0,3060.0,709.0,627.0,26.0,72.61
Philips RetroFit BGS981(Experimental),Verde oscuro,80.0,4000.0,3060.0,709.0,627.0,10.0,38.6
Philips RetroFit BGS981(Experimental),marrón claro,80.0,4000.0,3060.0,709.0,627.0,48.0,72.8
Philips RetroFit BGS981(Experimental),marrón oscuro,80.0,4000.0,3060.0,709.0,627.0,12.0,27.98
Philips RetroFit BGS981(Experimental),negro,160.0,4000.0,3060.0,210.6,627.0,4.0,9.15
Philips RetroFit BGS981(Experimental),gris oscuro,160.0,4000.0,3060.0,210.6,627.0,20.0,12.59
Philips RetroFit BGS981(Experimental),gris claro,160.0,4000.0,3060.0,210.6,627.0,42.0,15.27
Philips RetroFit BGS981(Experimental),blanco,160.0,4000.0,3060.0,210.6,627.0,66.0,21.8
Philips RetroFit BGS981(Experimental),morado,160.0,4000.0,3060.0,210.6,627.0,4.0,13.38
Philips RetroFit BGS981(Experimental),rojo,160.0,4000.0,3060.0,210.6,627.0,12.0,14.63
Philips RetroFit BGS981(Experimental),verde claro,160.0,4000.0,3060.0,210.6,627.0,54.0,18.84
Philips RetroFit BGS981(Experimental),verde ,160.0,4000.0,3060.0,210.6,627.0,26.0,15.87
Philips RetroFit BGS981(Experimental),Verde oscuro,160.0,4000.0,3060.0,210.6,627.0,10.0,11.17
Philips RetroFit BGS981(Experimental),marrón claro,160.0,4000.0,3060.0,210.6,627.0,48.0,18.0
Philips RetroFit BGS981(Experimental),marrón oscuro,160.0,4000.0,3060.0,210.6,627.0,12.0,10.97
Philips RetroFit BGS981(Experimental),negro,160.0,4000.0,3060.0,210.6,627.0,4.0,9.14
Philips RetroFit BGS981(Experimental),gris oscuro,160.0,4000.0,3060.0,210.6,627.0,20.0,12.9
Philips RetroFit BGS981(Experimental),gris claro,160.0,4000.0,3060.0,210.6,627.0,42.0,14.97
Philips RetroFit BGS981(Experimental),blanco,160.0,4000.0,3060.0,210.6,627.0,66.0,22.32
Philips RetroFit BGS981(Experimental),morado,160.0,4000.0,3060.0,210.6,627.0,4.0,13.25
Philips RetroFit BGS981(Experimental),rojo,160.0,4000.0,3060.0,210.6,627.0,12.0,13.6
Philips RetroFit BGS981(Experimental),verde claro,160.0,4000.0,3060.0,210.6,627.0,54.0,19.51
Philips RetroFit BGS981(Experimental),verde ,160.0,4000.0,3060.0,210.6,627.0,26.0,15.72
Philips RetroFit BGS981(Experimental),Verde oscuro,160.0,4000.0,3060.0,210.6,627.0,10.0,11.64
Philips RetroFit BGS981(Experimental),marrón claro,160.0,4000.0,3060.0,210.6,627.0,48.0,17.05
Philips RetroFit BGS981(Experimental),marrón oscuro,160.0,4000.0,3060.0,210.6,627.0,12.0,11.83
Philips Coreline Malaga LED BRP102 LED55/740 II DM,negro,80.0,4600.0,4033.0,3360.0,452.0,4.0,60.11
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris oscuro,80.0,4600.0,4033.0,3360.0,452.0,20.0,101.8
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris claro,80.0,4600.0,4033.0,3360.0,452.0,42.0,187.6
Philips Coreline Malaga LED BRP102 LED55/740 II DM,blanco,80.0,4600.0,4033.0,3360.0,452.0,66.0,436.6
Philips Coreline Malaga LED BRP102 LED55/740 II DM,morado,80.0,4600.0,4033.0,3360.0,452.0,4.0,77.44
Philips Coreline Malaga LED BRP102 LED55/740 II DM,rojo,80.0,4600.0,4033.0,3360.0,452.0,10.0,87.61
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde claro,80.0,4600.0,4033.0,3360.0,452.0,55.0,284.3
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde ,80.0,4600.0,4033.0,3360.0,452.0,27.0,274.7
Philips Coreline Malaga LED BRP102 LED55/740 II DM,Verde oscuro,80.0,4600.0,4033.0,3360.0,452.0,11.0,135.7
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón claro,80.0,4600.0,4033.0,3360.0,452.0,46.0,286.0
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón oscuro,80.0,4600.0,4033.0,3360.0,452.0,11.0,88.84
Philips Coreline Malaga LED BRP102 LED55/740 II DM,negro,80.0,4600.0,4033.0,3360.0,452.0,4.0,70.56
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris oscuro,80.0,4600.0,4033.0,3360.0,452.0,20.0,126.9
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris claro,80.0,4600.0,4033.0,3360.0,452.0,42.0,212.9
Philips Coreline Malaga LED BRP102 LED55/740 II DM,blanco,80.0,4600.0,4033.0,3360.0,452.0,66.0,431.5
Philips Coreline Malaga LED BRP102 LED55/740 II DM,morado,80.0,4600.0,4033.0,3360.0,452.0,4.0,81.91
Philips Coreline Malaga LED BRP102 LED55/740 II DM,rojo,80.0,4600.0,4033.0,3360.0,452.0,10.0,95.22
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde claro,80.0,4600.0,4033.0,3360.0,452.0,55.0,284.4
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde ,80.0,4600.0,4033.0,3360.0,452.0,27.0,278.3
Philips Coreline Malaga LED BRP102 LED55/740 II DM,Verde oscuro,80.0,4600.0,4033.0,3360.0,452.0,11.0,139.1
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón claro,80.0,4600.0,4033.0,3360.0,452.0,46.0,272.9
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón oscuro,80.0,4600.0,4033.0,3360.0,452.0,11.0,95.32
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris oscuro,160.0,4600.0,4033.0,773.0,452.0,20.0,66.88
